Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,33.340000,33.410000,32.529999,32.889999,31.172127,3175600
2019-09-04,33.160000,33.380001,32.970001,33.250000,31.513321,2947300
2019-09-05,34.009998,34.715000,33.799999,34.200001,32.413708,3905900
2019-09-06,34.230000,34.520000,33.990002,34.139999,32.356834,2867200
2019-09-09,34.520000,35.820000,34.310001,35.720001,33.854309,3813900
2019-09-10,36.000000,36.645000,35.830002,36.279999,34.385063,3675500
2019-09-11,36.500000,36.639999,35.680000,36.209999,34.318722,4345200
2019-09-12,35.590000,36.665001,35.349998,36.369999,34.470360,5281200
2019-09-13,36.959999,37.340000,36.709999,36.830002,34.906338,4076800
2019-09-16,36.279999,37.000000,36.200001,36.959999,35.029545,2605600
2019-09-17,36.680000,36.680000,36.075001,36.400002,34.498795,3134800
2019-09-18,36.090000,36.849998,35.970001,36.610001,34.697826,4076600
2019-09-19,36.270000,36.770000,36.090000,36.169998,34.280807,3667400
2019-09-20,36.240002,36.369999,35.759998,35.880001,34.005959,7279800
2019-09-23,35.419998,36.080002,35.230000,35.869999,33.996479,3156200
2019-09-24,35.840000,35.990002,35.080002,35.270000,33.427814,5729700
2019-09-25,35.290001,35.834999,35.230000,35.599998,33.740578,3807200
2019-09-26,35.459999,35.590000,35.130001,35.160000,33.323559,4099100
2019-09-27,35.500000,35.959999,35.169998,35.380001,33.532074,5140200
2019-09-30,35.639999,35.700001,35.259998,35.369999,33.522591,2762600
2019-10-01,35.669998,35.830002,34.180000,34.200001,32.413708,4439400
2019-10-02,33.900002,33.990002,33.355000,33.500000,31.750263,3933600
2019-10-03,33.180000,33.439999,32.470001,33.430000,31.683920,5072600
2019-10-04,33.400002,33.799999,33.070000,33.759998,31.996681,3140200
2019-10-07,33.619999,34.279999,33.555000,33.939999,32.167282,5741500
2019-10-08,33.020000,33.285000,32.580002,32.580002,30.878319,8388600
2019-10-09,32.880001,33.189999,32.669998,32.990002,31.266903,4343500
2019-10-10,33.299999,33.959999,33.250000,33.770000,32.006165,5358800
2019-10-11,34.580002,34.924999,34.270000,34.480000,32.679077,4508800
2019-10-14,34.250000,34.700001,34.064999,34.560001,32.754902,2302900
2019-10-15,34.740002,35.340000,34.520000,35.119999,33.285648,3281700
2019-10-16,35.119999,35.540001,34.880001,35.130001,33.295128,5819300
2019-10-17,35.410000,35.410000,34.654999,35.009998,33.181396,4952600
2019-10-18,35.090000,35.509998,34.709999,35.320000,33.475204,5639900
2019-10-21,35.779999,36.110001,35.470001,35.580002,33.721626,4022300
2019-10-22,35.570000,36.195000,35.180000,35.939999,34.062820,4012500
2019-10-23,35.759998,36.029999,35.570000,35.980000,34.100735,4053000
