Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,119.860001,120.279999,117.519997,117.599998,115.577950,3198700
2019-09-04,118.419998,118.730003,117.800003,118.400002,116.364189,3746900
2019-09-05,119.500000,121.629997,119.500000,120.669998,118.595154,5261100
2019-09-06,121.139999,121.190002,120.000000,120.190002,118.123421,4552400
2019-09-09,121.209999,121.410004,119.519997,119.919998,117.858055,5336000
2019-09-10,119.599998,119.610001,116.300003,117.309998,115.292938,6196100
2019-09-11,117.120003,118.099998,116.750000,118.000000,115.971069,3674400
2019-09-12,119.000000,120.430000,118.779999,119.019997,116.973526,3733500
2019-09-13,119.239998,119.970001,118.290001,119.199997,117.150429,3941100
2019-09-16,118.139999,118.440002,116.680000,117.639999,115.617256,4280600
2019-09-17,117.900002,119.129997,117.500000,119.050003,117.003014,3054700
2019-09-18,118.589996,118.800003,117.470001,118.739998,116.698341,2844500
2019-09-19,118.610001,119.519997,117.599998,117.790001,115.764679,1975800
2019-09-20,117.830002,118.239998,116.370003,116.800003,114.791702,5301500
2019-09-23,116.360001,118.419998,116.099998,118.239998,116.206932,5089400
2019-09-24,118.889999,120.199997,117.519997,118.169998,116.138145,5128400
2019-09-25,117.860001,119.440002,117.059998,119.120003,117.071815,2742900
2019-09-26,119.309998,120.029999,118.839996,118.910004,116.865425,3411200
2019-09-27,119.129997,119.620003,117.980003,118.589996,116.550926,2909200
2019-09-30,119.050003,119.239998,118.139999,118.279999,116.246246,2345800
2019-10-01,118.699997,119.500000,116.610001,116.699997,114.693420,2841300
2019-10-02,115.760002,115.809998,112.750000,112.860001,110.919441,4908800
2019-10-03,112.199997,112.959999,111.059998,112.550003,111.037842,3529300
2019-10-04,112.660004,114.529999,112.599998,114.410004,112.872856,2728200
2019-10-07,113.910004,114.650002,113.599998,113.650002,112.123062,2556000
2019-10-08,112.830002,113.650002,112.050003,112.540001,111.027969,3757300
2019-10-09,113.250000,114.769997,113.230003,113.919998,112.389427,2365600
2019-10-10,114.809998,115.790001,113.930000,115.019997,113.474648,2384300
2019-10-11,116.739998,117.570000,116.190002,116.400002,114.836113,2860400
2019-10-14,116.139999,117.000000,115.940002,116.389999,114.826241,1864400
2019-10-15,117.029999,118.190002,116.730003,117.589996,116.010117,2379700
2019-10-16,117.629997,117.989998,117.070000,117.410004,115.832550,2136700
2019-10-17,118.010002,119.330002,117.959999,119.099998,117.499832,3005500
2019-10-18,119.730003,119.980003,116.669998,116.760002,115.191269,6188500
2019-10-21,117.550003,119.379997,117.489998,119.050003,117.450508,4259500
2019-10-22,118.669998,119.349998,118.290001,118.610001,117.016418,3912100
2019-10-23,118.419998,119.230003,115.510002,116.489998,114.924896,3921100
2019-10-24,116.440002,116.900002,116.139999,116.410004,114.845978,2551300
2019-10-25,116.360001,118.510002,116.269997,118.260002,116.671120,2324800
2019-10-28,118.639999,119.300003,118.070000,118.580002,116.986824,2552700
2019-10-29,118.089996,118.830002,117.080002,117.419998,115.842407,2756300
2019-10-30,117.440002,118.169998,116.860001,118.070000,116.483673,2264200
2019-10-31,117.790001,118.209999,116.889999,117.279999,115.704285,2507400
2019-11-01,118.410004,119.449997,118.169998,119.139999,117.539291,2036500
2019-11-04,119.620003,120.500000,119.010002,119.620003,118.012856,1956400
2019-11-05,119.839996,119.959999,117.760002,118.769997,117.174263,2630000
2019-11-06,118.889999,119.720001,118.889999,119.690002,118.081909,2420700
2019-11-07,120.269997,122.430000,120.099998,121.279999,119.650536,2845000
2019-11-08,121.010002,121.809998,120.889999,121.470001,119.837997,1984600
2019-11-11,120.760002,121.809998,120.510002,120.900002,119.275650,1704100
2019-11-12,120.870003,121.230003,120.410004,120.889999,119.265778,2012400
2019-11-13,120.269997,120.970001,120.129997,120.260002,118.644249,1807900
2019-11-14,120.000000,120.980003,119.800003,120.930000,119.305252,1990600
2019-11-15,120.980003,121.330002,120.389999,120.760002,119.137535,2341500
2019-11-18,120.559998,120.849998,119.400002,119.660004,118.052307,2617900
2019-11-19,120.010002,120.449997,119.860001,120.000000,118.387741,1891000
2019-11-20,119.830002,120.230003,118.930000,119.300003,117.697159,2544100
2019-11-21,119.290001,119.470001,118.489998,118.800003,117.203873,2783800
2019-11-22,119.209999,119.290001,118.410004,119.059998,117.460373,1629700
2019-11-25,119.139999,120.599998,119.139999,120.599998,118.979683,2285400
2019-11-26,120.910004,121.040001,119.599998,119.790001,118.180573,4596200
2019-11-27,120.000000,120.360001,119.349998,120.330002,118.713318,2629700
2019-11-29,120.070000,120.889999,119.779999,120.120003,118.506134,1961500
2019-12-02,120.309998,120.360001,117.070000,117.260002,115.684555,5538200
2019-12-03,116.040001,116.750000,114.650002,116.570000,115.003822,3792300
2019-12-04,117.309998,118.540001,117.000000,117.940002,116.355423,2444100
2019-12-05,117.910004,118.430000,117.589996,118.279999,116.690842,3128300
2019-12-06,120.209999,121.440002,119.910004,120.610001,118.989548,3287600
2019-12-09,120.440002,121.529999,120.110001,120.459999,118.841560,2885200
2019-12-10,120.449997,121.470001,120.029999,120.900002,119.275650,2518200
2019-12-11,120.879997,121.379997,120.099998,120.639999,119.019142,2015300
2019-12-12,120.599998,123.070000,120.050003,122.639999,120.992264,2933800
2019-12-13,122.470001,124.989998,122.080002,124.720001,123.044327,3919000
2019-12-16,125.650002,126.330002,123.339996,123.680000,122.018303,3416100
