Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,62.430000,63.980000,60.959999,61.130001,61.130001,12051700
2019-09-04,61.750000,62.689999,60.770000,61.169998,61.169998,6637100
2019-09-05,61.880001,63.470001,61.668999,63.020000,63.020000,8160400
2019-09-06,63.500000,63.849998,61.889999,62.000000,62.000000,4744100
2019-09-09,62.549999,62.730000,59.070000,61.470001,61.470001,11684400
2019-09-10,60.720001,62.099998,59.450001,60.549999,60.549999,9394000
2019-09-11,60.849998,60.849998,58.910000,59.200001,59.200001,11561400
2019-09-12,59.500000,59.860001,57.750000,57.790001,57.790001,15301200
2019-09-13,57.180000,58.849998,55.910000,58.290001,58.290001,11657500
2019-09-16,57.340000,59.630001,57.240002,59.250000,59.250000,12394000
2019-09-17,60.200001,60.700001,59.150002,59.599998,59.599998,9225100
2019-09-18,59.990002,60.419998,58.759998,59.750000,59.750000,8644200
2019-09-19,59.959999,60.180000,58.410000,59.029999,59.029999,7094000
2019-09-20,59.000000,59.139999,56.924999,57.849998,57.849998,9204200
2019-09-23,57.070000,57.450001,56.389999,56.759998,56.759998,8773800
2019-09-24,56.849998,58.750000,54.410000,57.500000,57.500000,19489000
2019-09-25,57.419998,58.889999,56.229000,58.509998,58.509998,10034000
2019-09-26,60.040001,61.150002,59.830002,60.799999,60.799999,16447900
2019-09-27,60.980000,61.650002,59.930000,60.750000,60.750000,10698900
2019-09-30,60.959999,62.279999,60.849998,61.950001,61.950001,7317400
2019-10-01,62.299999,62.990002,61.049999,61.630001,61.630001,7549200
2019-10-02,61.230000,61.230000,58.860001,60.080002,60.080002,8834100
2019-10-03,59.480000,62.439999,59.060001,62.049999,62.049999,8082800
2019-10-04,62.509998,62.919998,61.439999,62.650002,62.650002,5073400
2019-10-07,62.240002,62.849998,61.689999,62.250000,62.250000,4115000
2019-10-08,61.849998,62.189999,60.630001,60.799999,60.799999,4664600
2019-10-09,61.430000,62.520000,61.270000,62.220001,62.220001,4088100
2019-10-10,62.250000,62.630001,61.560001,62.029999,62.029999,4440600
2019-10-11,62.759998,63.560001,61.470001,61.540001,61.540001,9084300
2019-10-14,61.520000,62.290001,61.400002,61.830002,61.830002,3660100
2019-10-15,62.220001,64.489998,62.220001,64.290001,64.290001,6189700
2019-10-16,63.820000,63.880001,62.560001,63.000000,63.000000,4187300
2019-10-17,63.020000,64.550003,63.020000,63.400002,63.400002,5565000
2019-10-18,63.169998,63.438999,59.783001,60.450001,60.450001,7905500
2019-10-21,60.700001,61.480000,59.830002,61.150002,61.150002,5468700
2019-10-22,61.279999,61.490002,58.549999,58.830002,58.830002,7093700
2019-10-23,58.900002,59.689999,57.619999,58.360001,58.360001,7628800
2019-10-24,59.619999,61.770000,59.590000,61.720001,61.720001,7998100
2019-10-25,61.480000,63.250000,61.110001,62.889999,62.889999,5189300
2019-10-28,62.820000,63.430000,61.910000,62.799999,62.799999,7171200
2019-10-29,62.799999,63.617001,62.380001,62.410000,62.410000,4030900
2019-10-30,62.509998,62.730000,61.474998,62.160000,62.160000,4832800
2019-10-31,62.000000,62.650002,60.900002,61.430000,61.430000,4416100
2019-11-01,61.570000,62.813999,61.459999,62.599998,62.599998,6184900
2019-11-04,63.299999,63.830002,62.360001,62.380001,62.380001,6046700
2019-11-05,62.500000,62.549999,59.910000,61.060001,61.060001,8552000
2019-11-06,61.330002,61.930000,60.577999,61.340000,61.340000,12855600
2019-11-07,61.910000,66.599998,60.540001,64.410004,64.410004,25984000
2019-11-08,63.180000,63.451000,61.330002,62.450001,62.450001,11629500
2019-11-11,61.880001,64.894997,61.880001,63.790001,63.790001,12711100
2019-11-12,63.880001,63.990002,60.820000,61.540001,61.540001,11296300
2019-11-13,61.299999,62.139999,60.849998,61.509998,61.509998,5509200
2019-11-14,61.650002,63.000000,61.349998,62.990002,62.990002,7406800
2019-11-15,63.200001,64.720001,63.099998,64.699997,64.699997,7791800
2019-11-18,64.500000,66.379997,64.230003,65.739998,65.739998,7409100
2019-11-19,65.699997,66.500000,65.139999,66.370003,66.370003,6884200
2019-11-20,66.360001,67.750000,66.019997,67.169998,67.169998,9595800
2019-11-21,67.169998,67.669998,66.279999,67.419998,67.419998,7864400
2019-11-22,67.489998,68.070000,67.035004,67.750000,67.750000,5804200
2019-11-25,68.320000,69.529999,68.089996,68.250000,68.250000,9599300
2019-11-26,69.129997,69.440002,67.930000,68.940002,68.940002,9981100
2019-11-27,68.940002,69.730003,68.400002,69.650002,69.650002,4412900
2019-11-29,69.339996,69.599998,68.940002,69.120003,69.120003,2478400
2019-12-02,68.949997,68.959999,66.110001,66.879997,66.879997,6758200
2019-12-03,65.300003,67.330002,64.680000,67.040001,67.040001,4432700
2019-12-04,67.470001,68.430000,67.190002,67.779999,67.779999,3715100
2019-12-05,67.589996,67.889999,66.660004,67.139999,67.139999,4265000
2019-12-06,67.669998,68.322998,67.610001,67.980003,67.980003,4058400
2019-12-09,67.779999,68.059998,66.720001,67.059998,67.059998,4335100
